Symbol,Date,Open,High,Low,Close,Volume
NYHI,30-May-2018,4,4,4,4,5700
NYHJ,30-May-2018,8,8,8,8,25000
NYLA,30-May-2018,9,9,9,9,59900
NYLB,30-May-2018,1,1,1,1,39800
NYLC,30-May-2018,1,1,1,1,10300
NYLD,30-May-2018,0.01,0.01,0.01,0.01,3000
NYLE,30-May-2018,0.01,0.01,0.01,0.01,6500
NYLF,30-May-2018,0.01,0.01,0.01,0.01,2000
NYLG,30-May-2018,0.01,0.01,0.01,0.01,1500
NYLH,30-May-2018,3,3,3,3,24000
NYLI,30-May-2018,0.01,0.01,0.01,0.01,5700
NYLJ,30-May-2018,15,15,15,15,25000
OEX,30-May-2018,1185.85,1197.01,1185.01,1194.9,862276000
OFIN,30-May-2018,8189.39,8317.92,8189.13,8293.67,0
OILBR,30-May-2018,75.39,77.54,75.39,77.54,0
OILSW,30-May-2018,66.85,68.26,66.85,68.26,1694846
OIV,30-May-2018,26.9,27.09,26.41,26.44,0
ONE,30-May-2018,1185.85,1197.01,1185.01,1194.9,0
OSX,30-May-2018,156.85,160.81,156.82,159.75,0
OVX,30-May-2018,27.79,28.51,27.47,27.9,0
PLD,30-May-2018,969.2,979.3,966.3,975,7159
PLT,30-May-2018,905.6,911.9,903.5,908.5,22484
QSHD,30-May-2018,25,948,25,948,0
QSHF,30-May-2018,84,1579,84,1049,0
QSHR,30-May-2018,4.36,4.82,2.1,2.1,0
QSHU,30-May-2018,109,2183,109,1997,0
QVLD,30-May-2018,2.36,623.15,2.36,623.15,0
QVLF,30-May-2018,0.22,598.02,0.22,561.34,0
QVLR,30-May-2018,1.09,4.45,1.09,1.9,0
QVLU,30-May-2018,2.59,1184.5,2.59,1184.5,0
R1FD,30-May-2018,44.23,69.34,44.23,63.88,0
R1FI,30-May-2018,59.25,66.76,59.25,65.02,0
R1OF,30-May-2018,50,55.86,50,54.62,0
R1OH,30-May-2018,50.82,56.58,50.82,55.65,0
R1TH,30-May-2018,56.58,59.77,56.48,58.84,0
R1TW,30-May-2018,56.99,71.19,56.99,67.18,0
R2FD,30-May-2018,58.73,76.1,58.73,71.61,0
R2FI,30-May-2018,69.48,74.22,69.48,72.62,0
R2OF,30-May-2018,64.9,68.46,64.9,67.17,0
R2OH,30-May-2018,62.14,65.05,62.14,64.27,0
R2TH,30-May-2018,62.71,65.41,62.71,64.78,0
R2TW,30-May-2018,68.16,76.15,68.16,74.56,0
R3FD,30-May-2018,53.86,73.73,53.86,69.05,0
R3FI,30-May-2018,66.2,71.57,66.2,70.22,0
R3OF,30-May-2018,59.88,64.11,59.88,62.96,0
R3OH,30-May-2018,58.16,61.98,58.16,61.21,0
R3TH,30-May-2018,60.46,63.32,60.46,62.62,0
R3TW,30-May-2018,64.52,74.59,64.52,72.18,0
RTCM,30-May-2018,196.42,197.51,196.35,197.39,6252600
RTRE,30-May-2018,167.73,168.39,167.65,168.2,4960900
RVX,30-May-2018,16.39,16.39,14.36,15.39,0
S1FD,30-May-2018,27.18,59.22,27.18,57.28,0
S1FI,30-May-2018,57.28,62.13,56.31,60.19,0
S1OF,30-May-2018,39.8,49.51,38.83,44.66,0
S1OH,30-May-2018,43.68,52.42,43.68,51.45,0
S1TH,30-May-2018,52.42,56.31,51.45,55.33,0
S1TR,30-May-2018,240.05,242.66,240.05,242.11,0
S1TW,30-May-2018,52.42,68.93,52.42,67.96,0
S2TR,30-May-2018,619.59,633.71,619.59,632.08,0
S3TR,30-May-2018,1097.95,1112.72,1097.95,1110.64,0
S4FD,30-May-2018,59.14,80.7,59.14,72.93,0
S4FI,30-May-2018,69.67,74.93,69.67,72.43,0
S4OF,30-May-2018,60.65,64.41,60.65,62.9,0
S4OH,30-May-2018,58.39,64.16,58.39,63.4,0
S4TH,30-May-2018,61.4,64.16,61.4,63.65,0
S4TR,30-May-2018,404.36,409.8,404.36,409.37,0
S4TW,30-May-2018,65.66,75.93,65.66,73.18,0
S5FD,30-May-2018,33.13,63.88,33.13,58.92,0
S5FI,30-May-2018,53.37,62.3,53.37,60.91,0
S5OF,30-May-2018,43.05,50,43.05,48.41,0
S5OH,30-May-2018,45.83,53.17,45.83,51.98,0
S5TH,30-May-2018,54.56,58.13,53.76,56.94,0
S5TR,30-May-2018,500.92,503.32,498.7,501.91,0
S5TW,30-May-2018,50.19,68.45,50.19,64.88,0
S6CD,30-May-2018,589.68,593.57,587.45,591.94,0
S6CS,30-May-2018,1845.94,1890.24,1845.94,1884.48,0
S6EP,30-May-2018,617.84,640.41,617.84,637.69,0
S6FD,30-May-2018,64.16,81.16,64.16,78.16,0
S6FI,30-May-2018,73.33,78.33,73.33,76.83,0
S6FP,30-May-2018,1012.48,1031.65,1012.48,1029.25,0
S6HC,30-May-2018,2982.76,3030.28,2981.4,3022.89,0
S6IP,30-May-2018,1107.05,1127.3,1107.05,1123.88,0
S6MP,30-May-2018,537.79,545.92,537.54,542.95,0
S6OF,30-May-2018,66.83,71.66,66.83,69.66,0
S6OH,30-May-2018,62.16,66.66,62.16,65.66,0
S6TH,30-May-2018,64.83,67,64.83,67,0
S6TP,30-May-2018,716.38,725.12,716.38,720.78,0
S6TR,30-May-2018,1483.54,1498.91,1483.54,1495.97,0
S6TW,30-May-2018,74.66,83.16,74.66,82,0
S6UP,30-May-2018,656.66,667.9,656.54,665.61,0
S7TR,30-May-2018,992.29,1014.33,992.29,1010.99,0
S8TR,30-May-2018,958.72,992.32,958.72,988.57,0
S9TR,30-May-2018,523.61,533.65,523.61,532.55,0
SAAB,30-May-2018,2036.19,2036.19,1996.07,2000.3,0
SACC,30-May-2018,4193.42,4193.67,4135.4,4160.77,0
SACN,30-May-2018,277.8,278.16,276.1,277.77,0
SAER,30-May-2018,82.14,82.2,80.2,80.81,0
SAIE,30-May-2018,220.78,221.31,218.97,221.31,0
SAIU,30-May-2018,195.31,198.05,195.15,197.59,0
SAJR,30-May-2018,162.83,162.83,159.21,160.19,0
SAJT,30-May-2018,126.27,126.27,123.67,124.46,0
SANA,30-May-2018,4438.86,4468.72,4436.09,4460.96,0
SANC,30-May-2018,4189.47,4211.46,4160.64,4184.92,0
SAPE,30-May-2018,4282.44,4282.44,4212.99,4218.23,0
SAPT,30-May-2018,107.15,107.3,105.68,106.76,0
SAPU,30-May-2018,3600.33,3606.56,3519.23,3529.69,0
SAQA,30-May-2018,3799.02,3832.03,3791.24,3820.85,0
SAQE,30-May-2018,2916.47,2916.47,2891.52,2912.9,0
SAUE,30-May-2018,155.55,155.67,151.88,153.04,0
SBAI,30-May-2018,95.95,97.03,94.71,96.31,0
SBER,30-May-2018,51.92,51.95,51.46,51.79,0
SBES,30-May-2018,1462.15,1462.15,1435.47,1438.69,0
SBFD,30-May-2018,16,36,12,24,0
SBFI,30-May-2018,56,64,52,60,0
SBIX,30-May-2018,329.95,333.16,328.19,332.3,0
SBNP,30-May-2018,2342.85,2376.75,2342.85,2372.27,0
SBOF,30-May-2018,48,52,44,44,0
SBOH,30-May-2018,52,56,52,52,0
SBSE,30-May-2018,2294.31,2294.31,2254.95,2266.77,0
SBSU,30-May-2018,1988.95,1988.95,1973.47,1977.45,0
SBTH,30-May-2018,64,64,60,60,0
SBTR,30-May-2018,55.4,55.43,54.91,55.26,0
SBTW,30-May-2018,40,52,40,48,0
SBUP,30-May-2018,4753.39,4838.71,4753.39,4827.48,0
SCBR,30-May-2018,46.4,47.02,46.38,47.01,0
SCII,30-May-2018,80.77,80.78,79.64,80.05,0
SCIR,30-May-2018,241.48,242.35,237.42,241.99,0
SCIS,30-May-2018,225.76,226.57,221.96,226.24,0
SCIT,30-May-2018,420.6,422.11,413.53,421.49,0
SCPC,30-May-2018,2534.46,2534.46,2481.48,2491.43,0
SCRC,30-May-2018,4350.24,4350.24,4270.49,4277.86,0
SCRE,30-May-2018,5984.3,5984.8,5860.31,5883.28,0
SCSC,30-May-2018,3343.91,3343.91,3273.01,3274.04,0
SCSE,30-May-2018,3222.74,3222.74,3160.92,3162.45,0
SCUT,30-May-2018,1537.23,1537.23,1507.37,1508.89,0
SCWI,30-May-2018,192.85,192.99,190.2,191.96,0
SCWP,30-May-2018,322.04,322.64,319.91,322.61,0
SCYE,30-May-2018,118.71,118.92,118.65,118.89,0
SCYI,30-May-2018,138.29,138.54,138.23,138.51,0
SDDE,30-May-2018,541.16,549.7,541.16,548.4,0
SDEW,30-May-2018,1534.51,1563.81,1534.51,1559.32,0
SDIP,30-May-2018,123.6,123.68,123.09,123.14,0
SDIS,30-May-2018,134.37,134.46,133.81,133.87,0
SDIT,30-May-2018,147.91,148.01,147.3,147.36,0
SDPI,30-May-2018,1632.45,1637.88,1623.68,1635.03,0
SDTI,30-May-2018,1930.97,1936.67,1919.88,1933.3,0
SDTR,30-May-2018,1193.8,1212.16,1193.8,1209.03,0
SDTS,30-May-2018,1092.35,1095.11,1090.93,1095.11,0
SDTT,30-May-2018,1289.3,1289.3,1283.99,1288.9,0
SEAN,30-May-2018,826.78,826.78,809.5,810.8,0
SEBI,30-May-2018,2360.68,2361.2,2332.97,2338.21,0
SECA,30-May-2018,270.07,274.14,268.84,273.83,0
SECB,30-May-2018,260.3,264.23,259.12,263.93,0
SECC,30-May-2018,453.56,460.17,451.28,459.65,0
SEFD,30-May-2018,25.8,90.32,25.8,83.87,0
SEFI,30-May-2018,77.41,87.09,77.41,83.87,0
SEIB,30-May-2018,2786.51,2786.51,2725.75,2736.89,0
SEIE,30-May-2018,206.14,206.55,204.22,206.55,0
SEIT,30-May-2018,153.4,153.94,152.49,153.89,0
SEIU,30-May-2018,201.95,204.02,201.46,203.72,0
SEMT,30-May-2018,1467.3,1467.3,1452.49,1457.44,0
SEOF,30-May-2018,67.74,77.41,64.51,74.19,0
SEOH,30-May-2018,67.74,77.41,67.74,77.41,0
SETH,30-May-2018,67.74,77.41,67.74,74.19,0
SETW,30-May-2018,35.48,61.29,35.48,58.06,0
SFFD,30-May-2018,7.35,23.52,7.35,19.11,0
SFFI,30-May-2018,32.35,39.7,32.35,38.23,0
SFOF,30-May-2018,26.47,27.94,25,26.47,0
SFOH,30-May-2018,36.76,41.17,33.82,39.7,0
SFTH,30-May-2018,54.41,57.35,45.58,55.88,0
SFTR,30-May-2018,1300.62,1324.6,1300.62,1320.89,0
SFTW,30-May-2018,19.11,36.76,19.11,30.88,0
SG0A,30-May-2018,278.04,278.04,274.63,277.38,0
SG0B,30-May-2018,73.87,73.87,72.97,73.7,0
SG0C,30-May-2018,778.41,778.41,768.88,776.55,0
SG0D,30-May-2018,39.09,39.09,38.41,38.6,0
SG0E,30-May-2018,411.96,411.96,404.76,406.72,0
SG0F,30-May-2018,361.38,371.75,359.86,371.58,0
SG0G,30-May-2018,346.52,356.47,345.07,356.3,0
SG0H,30-May-2018,3651.66,3756.67,3636.37,3754.8,0
SG0I,30-May-2018,392.55,403.06,390.09,402.48,0
SG1A,30-May-2018,836.07,857.74,829.96,856.33,0
SG1B,30-May-2018,358.9,358.9,345.65,349.07,0
SG1C,30-May-2018,9.55,9.55,9.2,9.29,0
SG1D,30-May-2018,100.72,100.72,97.01,97.97,0
SG1E,30-May-2018,145.64,146.15,144.31,145.37,0
SG1F,30-May-2018,31.58,31.69,31.29,31.52,0
SG1G,30-May-2018,64.96,65.19,64.37,64.84,0
SG1H,30-May-2018,152.91,154.53,152.47,154.23,0
SG1I,30-May-2018,70.58,71.33,70.38,71.19,0
SG1J,30-May-2018,304.54,312.7,302.63,312.24,0
SG2A,30-May-2018,642.46,663.06,637.53,661.44,0
SG2B,30-May-2018,431.53,445.36,428.21,444.27,0
SG2C,30-May-2018,611.38,630.98,606.68,629.44,0
SG2D,30-May-2018,98.07,99.8,97.95,99.33,0
SG2E,30-May-2018,8.94,9.1,8.93,9.06,0
SG2F,30-May-2018,31.09,31.64,31.05,31.49,0
SG2G,30-May-2018,92.6,94.07,92.22,92.64,0
SG2H,30-May-2018,9.62,9.77,9.58,9.62,0
SG2I,30-May-2018,47.11,47.88,46.92,47.13,0
SG2J,30-May-2018,83.28,84.16,83.04,84,0
SG3A,30-May-2018,595.51,595.51,584,593.94,0
SG3B,30-May-2018,4140.89,4140.89,4060.54,4130.02,0
SG3C,30-May-2018,330.23,330.23,322.6,324.87,0
SG3D,30-May-2018,7.56,7.56,7.38,7.43,0
SG3E,30-May-2018,79.71,79.71,77.86,78.41,0
SG3F,30-May-2018,132.62,137.03,129.79,131.6,0
SG3G,30-May-2018,55.01,56.83,53.83,54.58,0
SG3H,30-May-2018,382.41,395.13,374.25,379.46,0
SG3I,30-May-2018,365.72,375.26,363.75,373.83,0
SG3J,30-May-2018,485.82,485.82,476.42,484.54,0
SG4A,30-May-2018,543.77,557.11,539.95,554.83,0
SG4B,30-May-2018,364.26,371.53,362.44,370.97,0
SG4C,30-May-2018,103.73,105.8,103.21,105.64,0
SG4D,30-May-2018,181.09,184.59,180.06,184.3,0
SG4E,30-May-2018,136.54,139.85,135.79,139.6,0
SG4F,30-May-2018,518.35,530.51,515.12,529.53,0
SG4G,30-May-2018,171.26,175.78,170.31,175.48,0
SG4H,30-May-2018,112.8,115.77,112.18,115.58,0
SG4I,30-May-2018,138.64,142.32,137.82,142.06,0
SG4J,30-May-2018,197.92,203.08,196.85,202.3,0
SG5A,30-May-2018,407.71,417.03,406.33,415.66,0
SG5B,30-May-2018,577.63,590.85,575.69,588.9,0
SG5C,30-May-2018,759.25,761.87,756.87,760.65,0
SG5D,30-May-2018,104.48,104.84,104.15,104.67,0
SG5E,30-May-2018,689.03,690.93,686.39,689.83,0
SG5F,30-May-2018,362,362,353.04,355.55,0
SG5G,30-May-2018,24.72,24.72,24.11,24.28,0
SG5H,30-May-2018,260.54,260.54,254.08,255.89,0
SG5I,30-May-2018,264.85,270.92,263.74,270.28,0
SG5J,30-May-2018,618.79,632.94,616.7,630.85,0
SG6A,30-May-2018,895.62,916.15,891.88,913.97,0
SG6B,30-May-2018,205.02,205.46,202.11,205.13,0
SG6C,30-May-2018,1425.77,1428.87,1405.58,1426.52,0
SG6D,30-May-2018,170.83,170.83,164.69,166,0
SG6E,30-May-2018,19.64,19.64,18.93,19.08,0
SG6F,30-May-2018,27.83,27.83,26.83,27.04,0
SG6G,30-May-2018,366.85,367.3,362.2,365.01,0
SG6H,30-May-2018,226.06,226.34,223.2,224.93,0
SG6I,30-May-2018,394.41,394.89,389.41,392.43,0
SG6J,30-May-2018,236.12,241.53,235.14,240.96,0
SG7A,30-May-2018,17.68,17.99,17.67,17.96,0
SG7B,30-May-2018,129.36,131.66,129.32,131.45,0
SG7C,30-May-2018,411.18,413.93,409.05,413.69,0
SG7D,30-May-2018,210.68,212.03,209.53,211.91,0
SG7E,30-May-2018,2219.34,2233.55,2207.26,2232.28,0
SG7F,30-May-2018,346.24,356.48,344.96,356.48,0
SG7G,30-May-2018,319.71,329.17,318.53,329.17,0
SG7H,30-May-2018,3369.17,3468.79,3356.71,3468.79,0
SG7I,30-May-2018,169.57,173.7,169.5,173.65,0
SG7J,30-May-2018,115.63,117.68,115.59,117.5,0
SG8A,30-May-2018,135.92,136.06,134.23,135.07,0
SG8B,30-May-2018,10.18,10.19,10.05,10.12,0
SG8C,30-May-2018,18.57,18.59,18.34,18.45,0
SG8D,30-May-2018,238.91,243.4,235.45,242.5,0
SG8E,30-May-2018,198.63,202.37,195.76,201.62,0
SG8F,30-May-2018,373.35,380.38,367.96,378.98,0
SG8G,30-May-2018,176.37,176.41,175.02,176.18,0
SG8H,30-May-2018,352.19,352.29,349.51,351.84,0
SG8I,30-May-2018,1858.01,1858.37,1843.75,1856.04,0
SG8J,30-May-2018,1786.44,1829.98,1785.66,1829.44,0
SG9A,30-May-2018,63.66,64.54,63.3,64.46,0
SG9B,30-May-2018,105.01,106.47,104.41,106.34,0
SG9C,30-May-2018,485.76,493.38,483.35,492.79,0
SG9D,30-May-2018,410.03,416.24,407.79,415.74,0
SG9E,30-May-2018,4283.28,4348.17,4259.86,4342.97,0
SG9F,30-May-2018,202.05,205.2,201.02,204.94,0
SG9G,30-May-2018,87.31,88.63,86.82,88.52,0
SG9H,30-May-2018,734.43,745.49,730.32,744.57,0
SG9I,30-May-2018,251.87,258.49,250.38,257.95,0
SG9J,30-May-2018,235.75,239.16,234.53,238.86,0
SGAA,30-May-2018,1695.38,1698.04,1686.29,1697.11,0
SGAB,30-May-2018,1752.6,1753.81,1727.03,1736.18,0
SGAC,30-May-2018,4524.66,4550.96,4509.24,4543.82,0
SGAD,30-May-2018,4679.58,4679.58,4634.49,4668.64,0
SGCC,30-May-2018,275.59,279.74,274.26,279.41,0
SGCR,30-May-2018,147.65,148.26,145.98,148.01,0
SGDO,30-May-2018,144.49,145.66,144.23,145.52,0
SGIA,30-May-2018,219.06,225.68,219.06,224.89,0
SGIB,30-May-2018,779.33,787.07,779.33,785.6,0
SGID,30-May-2018,754.52,766.01,754.52,762.76,0
SGIF,30-May-2018,218.91,219.9,218.12,218.12,0
SGIR,30-May-2018,136.85,137.21,135.33,137,0
SGJ,30-May-2018,233.3,238.95,232.01,238.51,0
SGK,30-May-2018,314.76,314.76,309.24,310.75,0
SGLN,30-May-2018,257.76,257.8,255.06,256.82,0
SGLS,30-May-2018,226.19,226.24,223.85,225.36,0
SGMA,30-May-2018,210.27,210.82,207.93,210.5,0
SGME,30-May-2018,1475.78,1476.93,1465.46,1470.51,0
SGMU,30-May-2018,1160.07,1166.5,1153.46,1160.77,0
SGON,30-May-2018,396.38,399.59,395.66,399.21,0
SGP,30-May-2018,1702.5,1709.83,1697.23,1707.1,0
SGPA,30-May-2018,236.55,237.52,233.87,237.11,0
SGPG,30-May-2018,151.98,151.98,149.87,150.44,0
SGPP,30-May-2018,74.75,75.84,74.35,75.75,0
SGPR,30-May-2018,53.7,53.7,52.96,53.16,0
SGPT,30-May-2018,130.5,132.4,129.8,132.24,0
SGQA,30-May-2018,1141.64,1170.62,1133.92,1168.19,0
SGQB,30-May-2018,255.46,262.02,254,261.52,0
SGQC,30-May-2018,321.52,329.51,319.45,328.89,0
SGQD,30-May-2018,1219.5,1249.82,1211.65,1247.45,0
SGQE,30-May-2018,171.93,172.56,171.29,172.29,0
SGQF,30-May-2018,1556.37,1562.06,1550.55,1559.6,0
SGQG,30-May-2018,444.28,449.07,442.1,448.68,0
SGQH,30-May-2018,233.74,236.16,232.5,235.96,0
SGQI,30-May-2018,2462.14,2487.7,2449.1,2485.54,0
SGQJ,30-May-2018,300.99,308.63,298.95,307.99,0
SGRC,30-May-2018,127.03,127.2,125.27,126.56,0
SGRE,30-May-2018,99.54,99.67,98.16,99.17,0
SGRG,30-May-2018,30.83,30.83,30.4,30.52,0
SGRM,30-May-2018,137.51,139.12,137.05,138.9,0
SGRT,30-May-2018,88.42,88.49,86.34,86.99,0
SGSA,30-May-2018,799.46,809.08,797.11,807.81,0
SGSB,30-May-2018,61.44,62.18,61.26,62.09,0
SGSC,30-May-2018,556.44,563.13,554.8,562.25,0
SGSD,30-May-2018,409.13,409.62,402.87,406.15,0
SGSE,30-May-2018,261.88,265.82,260.61,265.51,0
SGSF,30-May-2018,413.87,414.37,407.54,410.86,0
SGSG,30-May-2018,4363,4368.29,4296.32,4331.24,0
SGSH,30-May-2018,131.15,132.73,128.94,132.63,0
SGSJ,30-May-2018,10.05,10.17,9.88,10.16,0
SGSK,30-May-2018,91.01,92.18,89.48,92.04,0
SGSM,30-May-2018,195.3,195.95,194.14,195.88,0
SGSN,30-May-2018,2057.34,2064.22,2045.18,2063.52,0
SGSO,30-May-2018,453.9,463.12,452.06,461.4,0
SGSP,30-May-2018,1110.32,1132.86,1105.8,1128.66,0
SGSQ,30-May-2018,2868.89,2927.15,2857.21,2916.27,0
SGSR,30-May-2018,364.03,364.03,350.46,354.19,0
SGSS,30-May-2018,7.8,7.8,7.51,7.59,0
SGST,30-May-2018,82.28,82.28,79.22,80.06,0
SGSU,30-May-2018,243.26,247.99,239.8,246.33,0
SGSV,30-May-2018,71.85,73.25,70.83,72.76,0
SGSW,30-May-2018,147.8,150.67,145.69,149.66,0
SGSX,30-May-2018,385.08,386.44,382.86,386.31,0
SGT,30-May-2018,2760.01,2800.15,2745.25,2796.85,0
